[2025-08-13 09:03:02.268] [rotating_logger] [info] Starting packet capture program
[2025-08-13 09:03:02.268] [rotating_logger] [info] Successfully found devices
[2025-08-13 09:03:02.268] [rotating_logger] [info] Creating PacketCapture class
[2025-08-13 09:03:02.276] [rotating_logger] [info] Successfully opened device
[2025-08-13 09:03:02.276] [rotating_logger] [info] Successfully compiled filters
[2025-08-13 09:03:02.276] [rotating_logger] [info] Successfully applied filters
[2025-08-13 09:03:02.276] [rotating_logger] [info] Starting capturing packages
[2025-08-13 09:03:03.271] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:03.271] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:03.271] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:03.271] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:03.271] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:03.271] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:03.271] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:03.272] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:03.272] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:03.272] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:03.272] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:03.272] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:03.272] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:03.272] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:03.272] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:05.319] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:05.319] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:05.319] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:05.319] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:05.319] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:05.319] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:05.319] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:05.319] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:05.319] [rotating_logger] [info] Starting parsing packet
[2025-08-13 09:03:05.319] [rotating_logger] [info] Checking ethernet header...
[2025-08-13 09:03:05.319] [rotating_logger] [info] Ethernet header detected
[2025-08-13 09:03:05.319] [rotating_logger] [info] Checking ipv4 header...
[2025-08-13 09:03:05.319] [rotating_logger] [info] ipv4 header detected
[2025-08-13 09:03:05.319] [rotating_logger] [info] Checking tcp header...
[2025-08-13 09:03:05.319] [rotating_logger] [info] tcp header detected
[2025-08-13 09:03:05.319] [rotating_logger] [info] TCP packet parsed
[2025-08-13 09:03:05.319] [rotating_logger] [info] Starting parsing packet
